,Industry Name,Number of firms,ROE
0,Advertising,65,16.51%
1,Aerospace/Defense,95,21.60%
2,Air Transport,25,42.68%
3,Apparel,70,17.87%
4,Auto & Truck,26,22.05%
5,Auto Parts,75,17.54%
6,Bank,7,15.03%
7,Banks (Regional),721,9.52%
8,Beverage ,47,27.62%
9,Beverage (Alcoholic),19,18.28%
10,Biotechnology,349,6.77%
11,Broadcasting,30,74.10%
12,Brokerage & Investment Banking,49,9.25%
13,Building Materials,37,6.78%
14,Business & Consumer Services,179,12.48%
15,Cable TV,16,26.62%
16,Chemical (Basic),47,8.80%
17,Chemical (Diversified),10,24.33%
18,Chemical (Specialty),100,22.10%
19,Coal & Related Energy,45,-14.66%
20,Computer Services,129,39.46%
21,Computer Software,273,21.53%
22,Computers/Peripherals,66,24.55%
23,Construction,18,3.62%
24,Diversified,20,13.06%
25,Educational Services,40,-0.13%
26,Electrical Equipment,135,13.67%
27,Electronics,191,7.98%
28,Electronics (Consumer & Office),26,25.66%
29,Engineering,56,7.61%
30,Entertainment,85,17.45%
31,Environmental & Waste Services,108,8.28%
32,Farming/Agriculture,29,4.82%
33,Financial Svcs.,76,15.50%
34,Financial Svcs. (Non-bank & Insurance),17,6.45%
35,Food Processing,97,15.94%
36,Food Wholesalers,18,17.74%
37,Furn/Home Furnishings,36,12.99%
38,Healthcare Equipment,193,11.87%
39,Healthcare Facilities,47,26.29%
40,Healthcare Products,58,5.52%
41,Healthcare Services,126,13.14%
42,Heathcare Information and Technology,125,9.45%
43,Heavy Construction,46,22.00%
44,Homebuilding,32,32.64%
45,Hotel/Gaming,89,4.50%
46,Household Products,139,21.68%
47,Information Services,71,22.24%
48,Insurance (General),26,4.08%
49,Insurance (Life),27,6.08%
50,Insurance (Prop/Cas.),53,14.34%
51,Internet software and services,330,11.75%
52,Investment Co.,65,9.68%
53,Machinery,141,15.70%
54,Metals & Mining,134,6.26%
55,Office Equipment & Services,30,19.42%
56,Oil/Gas (Integrated),8,18.31%
57,Oil/Gas (Production and Exploration),411,6.74%
58,Oil/Gas Distribution,80,12.66%
59,Oilfield Svcs/Equip.,163,13.18%
60,Packaging & Container,24,15.61%
61,Paper/Forest Products,21,15.98%
62,Pharma & Drugs,138,19.71%
63,Power,106,8.70%
64,Precious Metals,166,-8.92%
65,Publshing & Newspapers,52,7.05%
66,R.E.I.T.,46,12.55%
67,Railroad,10,19.85%
68,Real Estate (Development),22,-4.29%
69,Real Estate (General/Diversified),11,1.02%
70,Real Estate (Operations & Services),47,19.84%
71,Recreation,70,18.03%
72,Reinsurance,3,6.05%
73,Restaurant,84,27.46%
74,Retail (Automotive),30,30.79%
75,Retail (Building Supply),7,23.12%
76,Retail (Distributors),87,12.92%
77,Retail (General),21,17.68%
78,Retail (Grocery and Food),21,10.91%
79,Retail (Internet),47,18.36%
80,Retail (Special Lines),137,17.29%
81,Rubber& Tires,4,45.41%
82,Semiconductor,104,13.14%
83,Semiconductor Equip,51,-1.21%
84,Shipbuilding & Marine,14,0.37%
85,Shoe,14,24.27%
86,Steel,37,-6.67%
87,Telecom (Wireless),28,-15.63%
88,Telecom. Equipment,131,15.67%
89,Telecom. Services,82,5.78%
90,Thrift,223,-79.47%
91,Tobacco,12,214.71%
92,Transportation,22,14.75%
93,Trucking,28,16.01%
94,Utility (General),20,7.34%
95,Utility (Water),20,9.95%
96,Total Market,7766,15.68%
